timestamp,entropy,state,action,player_x,player_y,kill_count
1769434984.35578,132509.00,COMBAT,fountain,101,50,0
1769434984.4525363,126752.00,COMBAT,fountain,101,50,0
1769434984.5527062,120588.00,COMBAT,fountain,101,50,0
1769434984.7701035,121696.00,COMBAT,fountain,101,50,0
1769434984.8699322,122883.00,COMBAT,fountain,101,50,0
1769434984.9714954,123715.00,COMBAT,fountain,101,50,0
1769434985.0702093,127804.00,COMBAT,fountain,101,50,0
1769434985.30837,125090.00,COMBAT,fountain,101,50,0
1769434985.4068165,116537.00,COMBAT,fountain,101,50,0
1769434985.5075274,112890.00,COMBAT,janus,101,50,0
1769434985.6051323,110562.00,COMBAT,janus,101,50,0
1769434985.842739,109862.00,COMBAT,janus,101,50,0
1769434985.9396036,108905.00,COMBAT,janus,101,50,0
1769434986.0402167,108586.00,COMBAT,janus,101,50,0
1769434986.1381533,108372.00,COMBAT,janus,101,50,0
1769434986.3316433,109077.00,COMBAT,janus,101,50,0
1769434986.744434,109504.00,COMBAT,basic_attack,101,50,0
1769434987.241544,109213.00,COMBAT,basic_attack,101,50,0
1769434987.662514,110626.00,COMBAT,basic_attack,100,50,0
1769434988.165373,109277.00,COMBAT,basic_attack,95,42,0
1769434988.666689,116621.00,COMBAT,basic_attack,90,50,0
1769434989.1686826,120613.00,COMBAT,basic_attack,84,43,0
1769434989.669364,123266.00,COMBAT,basic_attack,77,50,0
1769434990.0801575,120925.00,COMBAT,basic_attack,70,42,0
1769434990.5814755,136958.00,COMBAT,basic_attack,66,50,0
1769434991.0962698,161343.00,COMBAT,basic_attack,60,43,0
1769434991.6018002,161476.00,COMBAT,basic_attack,52,57,0
1769434992.103679,135949.00,COMBAT,basic_attack,42,66,0
1769434992.6043506,137974.00,COMBAT,basic_attack,41,66,0
1769434993.0148761,134720.00,COMBAT,basic_attack,36,59,0
1769434993.519066,133972.00,COMBAT,basic_attack,30,66,0
1769434993.9319966,127137.00,COMBAT,basic_attack,26,59,0
1769434994.4441273,134723.00,COMBAT,basic_attack,22,66,0
1769434994.6463015,125510.00,COMBAT,janus,17,59,0
1769434994.7449868,125215.00,COMBAT,janus,16,60,0
1769434994.8435986,124546.00,COMBAT,janus,15,64,0
1769434994.9441764,124221.00,COMBAT,janus,14,66,0
1769434995.1336126,124283.00,COMBAT,janus,14,66,0
1769434995.229942,122236.00,COMBAT,janus,14,66,0
1769434995.3356771,125926.00,COMBAT,janus,14,66,0
1769434995.4303982,125907.00,COMBAT,janus,14,66,0
1769434995.5327134,126698.00,COMBAT,janus,14,66,0
1769434995.7459848,126317.00,COMBAT,janus,14,66,0
1769434995.847793,126925.00,COMBAT,janus,14,66,0
1769434995.9456065,131066.00,COMBAT,janus,14,66,0
1769434996.0474682,131465.00,COMBAT,janus,14,66,0
1769434996.236869,133462.00,COMBAT,janus,14,66,0
1769434996.3294542,133692.00,COMBAT,janus,14,66,0
1769434996.4300334,132859.00,COMBAT,janus,14,66,0
1769434996.5345683,131163.00,COMBAT,janus,14,66,0
